"RecordCategory","RecordSubCategory","StartDate","FinishDate","Details"
"Досуг","Игры","07-мар.-2022 13:16","07-мар.-2022 13:27","продление сна"
"Сон","","07-мар.-2022 12:43","07-мар.-2022 13:53",""
"Досуг","Игры","07-мар.-2022 12:36","07-мар.-2022 12:50",""
"Кормление","Еда","07-мар.-2022 11:52","07-мар.-2022 11:52",""
"Кормление","Правая Грудь","07-мар.-2022 10:45","07-мар.-2022 10:45",""
"Кормление","Левая Грудь","07-мар.-2022 10:45","07-мар.-2022 10:45",""
"Досуг","Купание","07-мар.-2022 10:32","07-мар.-2022 10:41",""
"Сон","","07-мар.-2022 09:17","07-мар.-2022 10:22",""
"Досуг","Игры","07-мар.-2022 09:14","07-мар.-2022 09:22",""
"Кормление","Левая Грудь","07-мар.-2022 07:58","07-мар.-2022 07:58",""
"Досуг","На животе","07-мар.-2022 07:16","07-мар.-2022 07:20","массаж от запора"
"Сон","","06-мар.-2022 21:11","07-мар.-2022 07:13",""
"Сон","","06-мар.-2022 19:14","06-мар.-2022 21:05",""
"Досуг","Игры","06-мар.-2022 18:39","06-мар.-2022 19:53",""
"Подгузники","Грязный","06-мар.-2022 18:12","06-мар.-2022 18:12",""
"Сон","","06-мар.-2022 16:00","06-мар.-2022 16:35",""
"Досуг","Игры","06-мар.-2022 15:55","06-мар.-2022 16:26",""
"Подгузники","Мокрый","06-мар.-2022 15:43","06-мар.-2022 15:43","2 раза массаж от запора"
"Кормление","Правая Грудь","06-мар.-2022 14:00","06-мар.-2022 14:00",""
"Кормление","Левая Грудь","06-мар.-2022 14:00","06-мар.-2022 14:00",""
"Сон","","06-мар.-2022 12:31","06-мар.-2022 13:44",""
"Досуг","Игры","06-мар.-2022 12:24","06-мар.-2022 12:47",""
"Кормление","Еда","06-мар.-2022 11:57","06-мар.-2022 11:57","яблоко, кабачок, картошка, курица"
"Досуг","Прогулка","06-мар.-2022 11:45","06-мар.-2022 11:58","в прогулочном блоке 1 раз"
"Кормление","Левая Грудь","06-мар.-2022 10:42","06-мар.-2022 10:56",""
"Досуг","Игры","06-мар.-2022 09:49","06-мар.-2022 10:14",""
"Сон","","06-мар.-2022 08:40","06-мар.-2022 10:14",""
"Досуг","Игры","06-мар.-2022 08:37","06-мар.-2022 09:03",""
"Кормление","Правая Грудь","06-мар.-2022 07:25","06-мар.-2022 07:25",""
"Кормление","Левая Грудь","06-мар.-2022 07:25","06-мар.-2022 07:25",""
"Досуг","Купание","06-мар.-2022 07:20","06-мар.-2022 07:25",""
"Сон","","05-мар.-2022 20:21","06-мар.-2022 06:41",""
"Сон","","05-мар.-2022 20:16","05-мар.-2022 20:20","20:06"
"Досуг","Игры","05-мар.-2022 19:37","05-мар.-2022 20:05","20:15"
"Кормление","Правая Грудь","05-мар.-2022 18:03","05-мар.-2022 18:09",""
"Сон","","05-мар.-2022 17:09","05-мар.-2022 17:45",""
"Досуг","Игры","05-мар.-2022 17:03","05-мар.-2022 17:15",""
"Кормление","Правая Грудь","05-мар.-2022 15:08","05-мар.-2022 15:08",""
"Сон","","05-мар.-2022 14:29","05-мар.-2022 15:06","23 минуты спал ещё"
"Кормление","Еда","05-мар.-2022 13:41","05-мар.-2022 13:41","яблоко пюре"
"Кормление","Правая Грудь","05-мар.-2022 13:12","05-мар.-2022 13:12",""
"Кормление","Левая Грудь","05-мар.-2022 13:12","05-мар.-2022 13:12",""
"Досуг","Игры","05-мар.-2022 11:58","05-мар.-2022 12:33","не получается продлить 30-ый сон"
"Сон","","05-мар.-2022 11:25","05-мар.-2022 11:58","недогул"
"Кормление","Правая Грудь","05-мар.-2022 09:48","05-мар.-2022 09:48",""
"Кормление","Левая Грудь","05-мар.-2022 09:48","05-мар.-2022 09:48",""
"Сон","","05-мар.-2022 08:05","05-мар.-2022 09:25","8:42, продлевала"
"Кормление","Левая Грудь","05-мар.-2022 07:07","05-мар.-2022 07:10",""
"Кормление","Правая Грудь","05-мар.-2022 06:08","05-мар.-2022 06:09",""
"Кормление","Левая Грудь","05-мар.-2022 06:07","05-мар.-2022 06:07",""
"Сон","","04-мар.-2022 20:12","05-мар.-2022 06:07",""
"Досуг","Игры","04-мар.-2022 19:56","04-мар.-2022 20:11",""
"Сон","","04-мар.-2022 17:05","04-мар.-2022 17:58",""
"Досуг","Игры","04-мар.-2022 16:54","04-мар.-2022 17:05",""
"Кормление","Правая Грудь","04-мар.-2022 15:12","04-мар.-2022 15:26","не хватает"
"Сон","","04-мар.-2022 14:09","04-мар.-2022 14:56",""
"Досуг","Игры","04-мар.-2022 13:56","04-мар.-2022 14:07",""
"Кормление","Левая Грудь","04-мар.-2022 12:27","04-мар.-2022 12:27",""
"Сон","","04-мар.-2022 11:14","04-мар.-2022 11:58",""
"Кормление","Еда","04-мар.-2022 10:16","04-мар.-2022 10:16","цветная капуста"
"Кормление","Левая Грудь","04-мар.-2022 09:52","04-мар.-2022 10:02",""
"Досуг","Купание","04-мар.-2022 09:29","04-мар.-2022 09:46",""
"Сон","","04-мар.-2022 08:22","04-мар.-2022 09:14",""
"Досуг","Игры","04-мар.-2022 08:16","04-мар.-2022 08:29",""
"Кормление","Левая Грудь","04-мар.-2022 06:46","04-мар.-2022 07:04",""
"Досуг","Игры","03-мар.-2022 19:40","03-мар.-2022 19:52","19 17 продлевала, 19 35 проснулся"
"Сон","","03-мар.-2022 18:30","04-мар.-2022 06:18",""
"Сон","","03-мар.-2022 18:16","03-мар.-2022 18:30",""
"Досуг","Игры","03-мар.-2022 18:10","03-мар.-2022 18:30",""
"Сон","","03-мар.-2022 15:26","03-мар.-2022 16:05",""
"Досуг","Игры","03-мар.-2022 15:21","03-мар.-2022 15:38",""
"Кормление","Левая Грудь","03-мар.-2022 13:29","03-мар.-2022 13:42",""
